2025-08-04 15:42:24,209 | ERROR    | | Error   | No camera detected.
2025-08-04 15:42:24,210 | INFO     | | Info    | BNO055 IMU detected and responding.
2025-08-04 15:42:24,211 | INFO     | | Info    | Setting CONFIG mode
2025-08-04 15:42:24,313 | INFO     | | Info    | loading calibration data...
2025-08-04 15:42:24,319 | WARNING  | | Warning | Calibration written to sensor.
2025-08-04 15:42:24,319 | INFO     | | Info    | Entering NDOF_FMC_OFF mode to lock calibration...
2025-08-04 15:42:24,421 | INFO     | | Info    | Format - Euler angles - (Heading, Roll, Pitch)
2025-08-04 15:42:24,422 | INFO     | | Info    | Format - Quaternion - (w, x, y, z)
2025-08-04 15:42:24,430 | INFO     | | Info    | Starting serial communications...
2025-08-04 15:42:24,432 | INFO     | | Info    | Starting WebSocket server...
2025-08-04 15:42:24,458 | INFO     | | Info    | WebSocket server started on ws://192.168.55.160:6789
