| Error   | No camera detected.
| Info    | BNO055 IMU detected and responding.
| Info    | Setting CONFIG mode
| Info    | loading calibration data...
| Warning | Calibration written to sensor.
| Info    | Entering NDOF_FMC_OFF mode to lock calibration...
| Info    | Format - Euler angles - (Heading, Roll, Pitch)
| Info    | Format - Quaternion - (w, x, y, z)
| Info    | Starting serial communications...
| Info    | Starting WebSocket server...
| Info    | WebSocket server started on ws://192.168.55.160:6789
