2025-08-06 14:55:17,076  | Info    | System calibration attempt: 1/2
2025-08-06 14:55:17,077  | Error   | BNO055 IMU not detected on I2C bus.
2025-08-06 14:55:17,077  | Fatal   | BNO055 IMU is unresponsive.
2025-08-06 14:55:17,078  | Warning | retrying initialization again...
2025-08-06 14:55:18,078  | Info    | System calibration attempt: 2/2
2025-08-06 14:55:18,079  | Error   | BNO055 IMU not detected on I2C bus.
2025-08-06 14:55:18,080  | Fatal   | BNO055 IMU is unresponsive.
2025-08-06 14:55:18,080  | Warning | retrying initialization again...
2025-08-06 14:55:19,080  | Error   | IMU module failed
2025-08-06 14:55:19,084  | Info    | Starting WebSocket server...
2025-08-06 14:55:19,118  | Success | WebSocket server started on ws://192.168.55.160:6789
2025-08-06 14:55:21,503  | Info    | Client connected
2025-08-06 14:55:21,733  | Info    | Client connected
2025-08-06 14:55:42,457  | Info    | Received from client: {"action":"disconnecting"}
2025-08-06 14:55:42,458  | Info    | Received command: {"action":"disconnecting"}
2025-08-06 14:55:42,459  | Error   | Unknown command: {'action': 'disconnecting'}
2025-08-06 14:55:42,805  | Info    | Client connected
2025-08-06 14:55:42,885  | Warning | Requested live video feed.
2025-08-06 14:55:42,886  | Info    | Starting video feed
2025-08-06 14:55:45,085  | Info    | Received from client: {"action":"lostInSpace"}
2025-08-06 14:55:45,085  | Info    | Received command: {"action":"lostInSpace"}
2025-08-06 14:55:45,085  | Error   | Unknown command: {'action': 'lostInSpace'}
2025-08-06 14:55:54,900  | Info    | Received from client: {"action":"disconnecting"}
2025-08-06 14:55:54,901  | Info    | Received command: {"action":"disconnecting"}
2025-08-06 14:55:54,901  | Error   | Unknown command: {'action': 'disconnecting'}
2025-08-06 14:55:55,263  | Info    | Client connected
2025-08-06 14:55:55,301  | Warning | Requested live video feed.
2025-08-06 14:55:55,302  | Info    | Starting video feed
2025-08-06 14:56:25,061  | Info    | Received from client: {"action":"disconnecting"}
2025-08-06 14:56:25,062  | Info    | Received command: {"action":"disconnecting"}
2025-08-06 14:56:25,063  | Error   | Unknown command: {'action': 'disconnecting'}
2025-08-06 14:56:25,178  | Info    | Client connected
2025-08-06 14:56:25,223  | Warning | Requested live video feed.
2025-08-06 14:56:25,225  | Info    | Starting video feed
2025-08-06 14:56:27,746  | Info    | Received from client: {"action":"lostInSpaceTest"}
2025-08-06 14:56:27,746  | Info    | Received command: {"action":"lostInSpaceTest"}
2025-08-06 14:56:27,747  | Info    | Lost in space... with test images
2025-08-06 14:56:27,747  | Fatal   | Other error: cannot access local variable 'quaternion' where it is not associated with a value
2025-08-06 14:56:41,608  | Info    | Client connected
2025-08-06 14:56:41,782  | Warning | Requested live video feed.
2025-08-06 14:56:41,783  | Info    | Starting video feed
