
--- Batch Run Started ---
ImageName;Quaternion(w;x;y;z);ExecutionTime_s
Stellarium_test_image_0p00000_30p00000.png001.png;quaternioncoord(0.5831;-0.3697;0.3370;-0.6402);1.1856
Stellarium_test_image_0p00000_60p00000.png001.png;quaternioncoord(-0.6522;0.1909;-0.1751;0.7124);0.8807
Stellarium_test_image_0p00000_90p00000.png001.png;quaternioncoord(-0.6662;0.0000;-0.0003;0.7457);1.2331
Stellarium_test_image_0p00000_m30p00000.png001.png;quaternioncoord(0.2756;-0.7222;0.4782;-0.4170);1.2900
Stellarium_test_image_0p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7546;-0.6561;-0.0004);1.4584
Stellarium_test_image_105p00000_0p00000.png001.png;quaternioncoord(0.6830;-0.6125;-0.3533;-0.1832);1.2537
Stellarium_test_image_105p00000_30p00000.png001.png;quaternioncoord(-0.4690;-0.8739;-0.0110;0.1275);0.7638
Stellarium_test_image_105p00000_60p00000.png001.png;quaternioncoord(0.8092;-0.1729;-0.1923;-0.5276);1.1525
Stellarium_test_image_105p00000_90p00000.png001.png;quaternioncoord(-0.6667;0.0001;-0.0003;0.7453);1.2751
Stellarium_test_image_105p00000_m30p00000.png001.png;quaternioncoord(-0.4851;0.7577;0.4195;0.1211);1.5297
Stellarium_test_image_105p00000_m60p00000.png001.png;quaternioncoord(0.2472;-0.8184;-0.5131;-0.0763);0.7217
Stellarium_test_image_120p00000_0p00000.png001.png;quaternioncoord(-0.0715;0.9489;-0.0760;-0.2979);0.9868
Stellarium_test_image_120p00000_30p00000.png001.png;quaternioncoord(-0.8406;-0.4784;0.1998;-0.1565);1.0360
Stellarium_test_image_120p00000_60p00000.png001.png;quaternioncoord(0.8200;-0.1219;-0.2280;-0.5106);0.6711
Stellarium_test_image_120p00000_90p00000.png001.png;quaternioncoord(-0.6668;0.0000;-0.0003;0.7452);1.2657
Stellarium_test_image_120p00000_m30p00000.png001.png;quaternioncoord(0.4993;-0.7276;-0.4697;-0.0251);0.6573
Stellarium_test_image_120p00000_m60p00000.png001.png;quaternioncoord(0.2579;-0.7981;-0.5442;-0.0197);1.7930
Stellarium_test_image_135p00000_0p00000.png001.png;quaternioncoord(-0.7035;0.5476;0.4474;-0.0706);0.6472
Stellarium_test_image_135p00000_30p00000.png001.png;quaternioncoord(0.3948;-0.1976;0.8935;-0.0822);0.7736
Stellarium_test_image_135p00000_60p00000.png001.png;quaternioncoord(-0.8185;0.0579;0.2519;0.5130);0.6668
Stellarium_test_image_135p00000_90p00000.png001.png;quaternioncoord(-0.6669;0.0000;-0.0003;0.7452);1.2553
Stellarium_test_image_135p00000_m30p00000.png001.png;quaternioncoord(-0.4938;0.7008;0.5089;-0.0780);1.0630
Stellarium_test_image_135p00000_m60p00000.png001.png;quaternioncoord(-0.2557;0.7776;0.5732;-0.0384);1.0749
Stellarium_test_image_150p00000_0p00000.png001.png;quaternioncoord(0.4795;0.2041;0.4940;0.6960);0.8282
